customer_id,order_id,customer_name,email,phone,city,region,customer_segment,product_category,product_name,quantity,unit_price,discount_pct,total_amount,payment_method,order_status,order_date,delivery_date,satisfaction_score,is_vip,consent_flag,source_system,last_update,secondary_email,notes
C10008,O200428,Nour Labser,nour.labser47@yahoo.com,+212632871012,Khouribga,Beni Mellal-Khenifra,Enterprise,Grocery,Dates,3,3822.99,15,9748.62,Wallet,returned,25/02/2025,2025-03-07,4,1,False,ERP_A,03-07-2025,,VIP client
C10315,O200954,Samir Bennani,samir.bennani65@outlook.com,+212616846022,Oujda,Oriental,Student,Grocery,Coffee,2,3773.07,0,7546.14,card,RETURNED,2025-12-02,05/12/2025,1,0,Yes,MobileApp,12-17-2025,,VIP client
C10331,O201051,Rania Ait Lahcen,rania.ait79@outlook.com,+212665902771,OUJDA,Oriental,SME,Grocery,Olive Oil,1,413.3,10,371.97,CARD,Delivered,01-02-2025,12/01/2025,,N,N,MobileApp,01-02-2025,,
C10180,O200056,  Karim El Fassi  ,karim.el86@gmail.com,+212617426841,Fes,Fes-Meknes,Retail,Fashion,T-Shirt,3,2085.22,15,5317.31,cash,Canceled,08-09-2025,19/08/2025,4,N,Yes,MobileApp,18/08/2025,,
C10080,O201154,Meryem Idrissi,meryem.idrissi5@yahoo.com,+212628951718,,Marrakesh-Safi,Enterprise,Fashion,Jacket,1,3113.16,5,2957.5,Transfer,pending,2025-08-02,07/08/2025,,1,No,WebShop,30/08/2025,,
C10336,O200555,Imane Bennani,imane.bennani14@gmail.com,+212666088019,,Oriental,Enterprise,Grocery,Coffee,3,2774.32,0,8322.96,Bank Transfer,pending,2025/11/16 00:47:00,26/11/2025,4,N,False,ERP_A,2025/12/08 00:47:00,,VIP client
C10145,O200208,Aya Boukili,aya.boukili51@company.ma,+212654310278,MARRAKECH,Marrakesh-Safi,SME,Home,Desk,5,50.35,10,113.29,eWallet,cancelled,06-28-2025,29/06/2025,4,Y,N,MobileApp,2025/07/22 02:55:00,,
C10283,O200769,Zakaria Rahmani,zakaria.rahmani40@yahoo.com,+212642209690,Marrakesh,Marrakesh-Safi,Student,Beauty,Perfume,3,3625.41,0,10876.23,transfer,DELIVERED,24/02/2025,03-03-2025,4,0,True,WebShop,2025-03-08,,
C10033,O200366,Imane Labser,imane.labser45@company.ma,+212686850142,RABAT,Rabat-Sale-Kenitra,Enterprise,Beauty,Shampoo,2,1163.27,10,2093.89,card,Canceled,25/12/2025,2024-12-20,2,No,Y,CRM_B,2026/01/16 22:25:00,,VIP client
C10203,O200643,Youssef El Amrani,,+212684840862,khouribga,Beni Mellal-Khenifra,SME,Electronics,Monitor,1,4794.84,20,3835.87,Credit Card,delivered,2026-02-16,25/02/2026,5,No,Yes,WebShop,17/03/2026,,Late delivery complaint
C10151,O200127,Hamza Jabri,,+212624225358,casablanca,Casablanca-Settat,Enterprise,Home,Chair,1,2419.72,0,2419.72,CARD,Returned,2025-03-24,04-03-2025,,0,No,MobileApp,2025/04/13 22:29:00,,VIP client
C10031,O200110,Amine Ait Lahcen,amine.ait4@yahoo.com,+212625634216,Marrakech,Marrakesh-Safi,Student,Grocery,Dates,3,4979.95,0,14939.85,Wallet,Returned,2026-02-21,01/03/2026,,N,No,ERP_A,02-27-2026,,VIP client
C10046,O200559,Karim Labser,karim.labser69@yahoo.com,+212689373467,Khouribga,Beni Mellal-Khenifra,Retail,Electronics,Monitor,2,1082.69,15,1840.57,Wallet,RETURNED,2025-02-10,02-19-2025,,No,Y,MobileApp,2025-02-24,,
C10277,O200254,Zakaria El Amrani,zakaria.el61@gmail.com,+212685932133,Tanger,Tangier-Tetouan-Al Hoceima,Enterprise,Grocery,Dates,1,-10.0,0,1192.74,Transfer,Returned,07-02-2025,07-03-2025,4,No,False,ERP_A,2025/07/22 10:11:00,,Address unclear
C10237,O200936,Khadija Labser,khadija.labser57@gmail.com,+212613395962,Agadir,Souss-Massa,Student,Electronics,Headphones,2,667.62,5,1268.48,COD,Delivered,11/01/2025,01-13-2025,2,1,True,CRM_B,20/01/2025,,VIP client
C10263,O200931,Samir Tazi,samir.tazi76@company.ma, ,oujda,Oriental,Retail,Beauty,Cream,5,2930.88,5,13921.68,transfer,cancelled,29/03/2025,2025-04-04,2,1,True,ERP_A,04-03-2025,,
C10003,O200259,Karim Boukili,karim.boukili94@gmail.com,+212678161849,Tangier,Tangier-Tetouan-Al Hoceima,Student,Electronics,Monitor,1,4770.16,0,4770.16,COD,Pending,2025/11/21 04:13:00,24/11/2025,5,Yes,False,MobileApp,2025-11-30,,
C10040,O200039,Rania Boukili,rania.boukili54 at yahoo.com,+212693676320,RABAT,Rabat-Sale-Kenitra,SME,Home,Desk,4,550.93,0,2203.72,Card,cancelled,08-31-2025,01/09/2025,2,Yes,Y,MobileApp,07/09/2025,,
C10070,O200706,Imane Boukili,imane.boukili12@gmail.com,+212639904902,Tanger,Tangier-Tetouan-Al Hoceima,SME,Fashion,Shoes,-1,3739.48,5,3552.51,card,delivered,2026/01/07 20:52:00,15/01/2026,,N,Yes,WebShop,2026-01-13,,Late delivery complaint
C10082,O200148,Imane Naciri,imane.naciri81@company.ma,+212678091343,Khouribga  ,Beni Mellal-Khenifra,Student,Beauty,Perfume,1,531.56,10,478.4,cash,PENDING,01-26-2026,01-30-2026,1,0,No,ERP_A,2026/02/06 00:33:00,,
C10141,O200950,Anas Bennani,anas.bennani70@outlook.com,,khouribga,Beni Mellal-Khenifra,SME,Beauty,Soap,1,2953.41,15,2510.4,Wallet,Pending,10-13-2025,10-20-2025,3,Yes,Y,MobileApp,2025-10-18,,
C10066,O201004,Amine Tazi,amine.tazi21@gmail.com,+212606797403,Marrakech,Marrakesh-Safi,Retail,Grocery,Rice,1,335.8,0,335.8,Card,returned,2025/03/31 20:09:00,04-08-2025,,N,True,MobileApp,2025-04-30,,Address unclear
C10155,O200154,Mehdi Cherkaoui,mehdi.cherkaoui21 at gmail.com,+212676773592,RBT,Rabat-Sale-Kenitra,Retail,Beauty,Shampoo,1,3318.96,10,2987.06,transfer,returned,2026-01-28,02-05-2026,5,Y,True,WebShop,2026-02-27,,Late delivery complaint
C10040,O200037,Rania Boukili,rania.boukili54@yahoo.com,+212693676320,RABAT,Rabat-Sale-Kenitra,Enterprise,Grocery,Olive Oil,5,3173.29,0,15866.45,Wallet,Delivered,2025-03-27,04-02-2025,3,No,Y,WebShop,2025/04/18 20:51:00,,
C10115,O200130,Samir Cherkaoui,samir.cherkaoui56@gmail.com,+212613696816,agadir,Souss-Massa,Enterprise,Fashion,T-Shirt,2,2537.69,5,2410.8,wallet,delivered,2025-05-22,2025-05-28,,1,N,WebShop,06-16-2025,,Late delivery complaint
C10153,O200163,Amine Boukili,amine.boukili85@outlook.com,+212699590010, marrakech ,Marrakesh-Safi,SME,Grocery,Dates,3,4306.52,0,12919.56,transfer,pending,2025-11-21,11-28-2025,,1,N,CRM_B,2025-11-24,,VIP client
C10015,O200232,Zakaria Bennani,zakaria.bennani76@gmail.com,+212683930103,Agadir,Souss-Massa,SME,Beauty,Shampoo,1,1481.26,0,1481.26,card,pending,2025/11/20 18:58:00,11-26-2025,2,No,False,WebShop,11-30-2025,,
C10203,O200860,Youssef El Amrani,youssef.el3@gmail.com,+212684840862,,Beni Mellal-Khenifra,Student,Grocery,Olive Oil,1,4145.26,0,4145.26,Transfer,Cancelled,2025-09-06,2025/09/10 21:20:00,1,0,No,ERP_A,11/09/2025,,
C10291,O201172,Karim El Amrani,karim.el38@gmail.com,+212697310324,khouribga,Beni Mellal-Khenifra,SME,Beauty,Perfume,1,191.9,0,191.9,wallet,Returned,10-30-2025,11-05-2025,3,Y,No,WebShop,2025-11-13,,Late delivery complaint
C10330,O200043,Khadija Labser,khadija.labser54@yahoo.com,+212621202169,,Beni Mellal-Khenifra,Enterprise,Grocery,Dates,2,1344.38,5,2554.32,Bank Transfer,Canceled,17/11/2025,2025-11-27,2,Yes,No,CRM_B,2025-11-20,,Address unclear
C10080,O200824,Meryem Idrissi,meryem.idrissi5@yahoo.com,+212628951718,Marrakesh,Marrakesh-Safi,Student,Fashion,T-Shirt,1,1121.11,15,952.94,wallet,Cancelled,2025-06-28,06/07/2025,4,No,Yes,WebShop,2025-07-15,,
C10225,O201204,Karim Labser,karim.labser27@yahoo.com,+212687571775,Agadir,Souss-Massa,Student,Beauty,Perfume,2,3436.68,-5,6873.36,Bank Transfer,Cancelled,12/03/2025,03-22-2025,2,No,Y,CRM_B,03-26-2025,,
C10094,O200560,Rania Bennani,rania.bennani69@outlook.com,+212626758692,RBT,Rabat-Sale-Kenitra,Student,Beauty,Shampoo,1,912.22,-5,912.22,Card,Pending,2025/05/15 04:56:00,24/05/2025,,Y,No,CRM_B,06-04-2025,,
C10176,O200919,Mehdi Boukili,mehdi.boukili37@company.ma,+212678872874,Rabat,Rabat-Sale-Kenitra,Retail,Beauty,Soap,5,719.16,5,3416.01,Credit Card,Pending,01-29-2026,2026/02/01 05:11:00,,0,N,WebShop,06/02/2026,,
C10158,O201017,Imane Jabri,imane.jabri98@@outlook.com,+212627877470,Agadir  ,Souss-Massa,Student,Beauty,Cream,2,833.86,-5,1667.72,card,returned,16/07/2025,07-21-2025,,Yes,No,CRM_B,2025/07/30 05:38:00,,Late delivery complaint
C10072,O200537,Imane Rahmani,,+212667468071,RBT,Rabat-Sale-Kenitra,SME,Beauty,Perfume,2,4414.45,5,8387.45,Bank Transfer,delivered,12-15-2025,2025-12-20,,N,Y,MobileApp,2026/01/10 18:45:00,,Late delivery complaint
C10125,O200678,Youssef Mansouri,youssef.mansouri28@outlook.com, ,Tanger,Tangier-Tetouan-Al Hoceima,SME,Grocery,Olive Oil,3,479.9,15,1218.74,eWallet,Delivered,2025-09-22,09-25-2025,4,No,True,WebShop,02/10/2025,,
C10320,O200067,Amine Bennani,amine.bennani38@company.ma,+212678985625,casablanca,Casablanca-Settat,Student,Fashion,Jacket,2,4066.99,15,6913.88,Transfer,pending,2025-05-12,13/05/2025,,0,Yes,CRM_B,2025-05-28,,Address unclear
C10316,O201078,Hajar Mansouri,hajar.mansouri19@yahoo.com,+212652175250,khouribga,Beni Mellal-Khenifra,Enterprise,Beauty,Cream,2,2899.83,5,5509.68,cash,Pending,2026/02/10 15:51:00,01/01/2025,3,0,Yes,MobileApp,17/02/2026,,Address unclear
C10251,O200581,Sara Ait Lahcen,sara.ait50@yahoo.com,+212613791805,Fes,Fes-Meknes,Retail,Grocery,Olive Oil,2,425.26,0,850.52,Transfer,Canceled,01-01-2025,2025/01/02 00:39:00,4,0,Yes,CRM_B,2025/01/12 00:39:00,,Late delivery complaint
C10180,O200466,Karim El Fassi,karim.el86@gmail.com,+212617426841,Fes,Fes-Meknes,SME,Beauty,Soap,4,4979.3,0,19917.2,eWallet,pending,2026/01/20 09:35:00,28/01/2026,5,Yes,N,ERP_A,01-26-2026,backup@example.com,
C10320,O201241,Amine Bennani,amine.bennani38@company.ma,+212678985625,CASA,Casablanca-Settat,SME,Electronics,Monitor,2,887.74,-5,1420.38,Cash,Pending,12/01/2025,01-22-2025,,No,True,MobileApp,07/02/2025,,Address unclear
C10026,O200573,Mehdi Boukili,mehdi.boukili85@company.ma,+212612411824,Casa  ,Casablanca-Settat,Retail,Fashion,Bag,3,743.09,20,1783.42,Bank Transfer,pending,04/01/2026,01-05-2026,5,Yes,Y,WebShop,2026-02-01,,Late delivery complaint
C10296,O200497,Samir Alaoui,samir.alaoui23@yahoo.com,+212623320616, rabat,Rabat-Sale-Kenitra,Enterprise,Beauty,Shampoo,1,3792.77,0,3792.77,Wallet,Pending,09-08-2025,2025-09-14,,1,N,WebShop,09-24-2025,,
C10240,O200159,Zakaria Ait Lahcen,zakaria.ait19@yahoo.com,+212694667116,Khouribga,Beni Mellal-Khenifra,Enterprise,Beauty,Shampoo,3,1913.58,5,5453.7,cash,RETURNED,2025/06/15 18:06:00,23/06/2025,,0,No,WebShop,2025-06-26,,
C10072,O201106,Imane Rahmani,imane.rahmani43@outlook.com,+212667468071, rabat,Rabat-Sale-Kenitra,Enterprise,Grocery,Coffee,4,2027.85,0,8111.4,eWallet,returned,2025-02-20,2025-02-26,3,N,Y,MobileApp,03-16-2025,,Late delivery complaint
C10145,O200355,Aya Boukili,aya.boukili51@company.ma,+212654310278,MARRAKECH,Marrakesh-Safi,Retail,Beauty,Perfume,2,550.48,0,1100.96,wallet,Cancelled,2026/01/02 19:56:00,2026/01/04 19:56:00,2,Yes,N,MobileApp,2026-01-10,,VIP client
C10059,O200265,Anas El Fassi,anas.el90@company.ma,+212674443135,Agadir,Souss-Massa,Enterprise,Electronics,Monitor,4,3542.11,0,14168.44,wallet,cancelled,23/09/2025,2025-09-30,5,0,True,MobileApp,2025-10-16,,Address unclear
C10119,O200275,Amina El Amrani,N/A,+212677005411,Agadir,Souss-Massa,Retail,Home,Lamp,1,1483.24,0,1483.24,Credit Card,pending,02-15-2025,02-25-2025,4,1,Y,ERP_A,2025-03-05,,Address unclear
C10114,O200478,Aya Naciri,aya.naciri74@yahoo.com,+212666416052,Agadir  ,Souss-Massa,Retail,Home,Lamp,-3,3263.98,0,3263.98,COD,pending,2025-09-13,14/09/2025,,Yes,False,MobileApp,2025/10/13 14:36:00,,
